"","OBJECTID","Join_Count","TARGET_FID","YEAR","TRI_FACILI","FRS_ID","FACILITY_N","STREET_ADD","CITY","COUNTY","ST","ZIP","BIA_CODE","TRIBE","LATITUDE","LONGITUDE","FEDERAL_FA","INDUSTRY_S","INDUSTRY_1","PRIMARY_SI","SIC_2","SIC_3","SIC_4","SIC_5","SIC_6","PRIMARY_NA","NAICS_2","NAICS_3","NAICS_4","NAICS_5","NAICS_6","DOC_CTRL_N","CHEMICAL","CAS___COMP","SRS_ID","CLEAR_AIR_","CLASSIFICA","METAL","METAL_CATE","CARCINOGEN","FORM_TYPE","UNIT_OF_ME","F5_1_FUGITI","F5_2_STACK_","F5_3_WATER","F5_4_UNDERG","F5_4_1_UNDE","F5_4_2_UNDE","F5_5_1_LAND","F5_5_1A_RCR","F5_5_1B_OTH","F5_5_2_LAND","F5_5_3_SURF","F5_5_3A_RCR","F5_5_3B_Oth","F5_5_4_OTHE","ON_SITE_RE","F6_1_POTW_T","F6_1_POTW_1","F6_1_POTW_2","F6_2_M10","F6_2_M41","F6_2_M62","F6_2_M71","F6_2_M81","F6_2_M82","F6_2_M72","F6_2_M63","F6_2_M66","F6_2_M67","F6_2_M64","F6_2_M65","F6_2_M73","F6_2_M79","F6_2_M90","F6_2_M94","F6_2_M99","OFF_SITE_R","F6_2_M20","F6_2_M24","F6_2_M26","F6_2_M28","F6_2_M93","OFF_SITE_1","F6_2_M56","F6_2_M92","OFF_SITE_2","F6_2_M40","F6_2_M50","F6_2_M54","F6_2_M61","F6_2_M69","F6_2_M95","OFF_SITE_T","TOTAL_RELE","F8_1_RELEAS","F8_1A_ON_SI","F8_1B_ON_SI","F8_1C_OFF_S","F8_1D_OFF_S","F8_2_ENERGY","F8_3_ENERGY","F8_4_RECYCL","F8_5_RECYCL","F8_6_TREATM","F8_7_TREATM","PROD__WAST","F8_8_ONE_TI","PROD_RATIO","F8_9_PRODUC","PARENT_COM","PARENT_C_1","Field110","STATEFP00","COUNTYFP00","TRACTCE00","BLKGRPCE00","BKGPIDFP00","NAMELSAD00","MTFCC00","FUNCSTAT00","ALAND00","AWATER00","INTPTLAT00","INTPTLON00","OID_","Field1","GEOID","GEO_label","total_x","under_50","from_50_to","from_75_to","from_100_t","from_125_t","from_150_t","from_175_t","from_185_t","from_200_u","below_200","fraction_b","over_30_un","total_y","not_Hispan","non_HL_whi","non_HL_Bla","non_HL_AIA","non_HL_Asi","non_HL_NHO","non_HL_oth","non_HL_2_p","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_wh","percent_Bl","percent_HL","percent_AI","percent_As","percent_NH","percent_ot","GEOID2_Tex","STATEFP10","COUNTYFP10","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","NAMELSAD10","LSAD10","CLASSFP10","MTFCC10","CNECTAFP10","NECTAFP10","NCTADVFP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","GEOID_AFF2","GEOID_AFF1","covered_facility","TRUE_TOTAL_RELEASE_POUNDS"
"691",691,0,691,2008,"06410BNDXC250KN",110016680206,"ATLANTIC INERTIAL SYSTEMS INC. PART OF UTC AEROSPACE SYSTEMS","250 KNOTTER DR","CHESHIRE","NEW HAVEN","CT",6410,NA,NA,41.55081,-72.91895,"NO",334,"Computers and Electronic Products",NA,NA,NA,NA,NA,NA,334511,0,NA,0,0,0,1308206346090,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,390,0,0,0,0,0,0,390,0,NA,0.64,"UNITED TECHNOLOGIES CORP","001344142",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,390
"692",692,1,692,2008,"06708HBBRD563SL",110000317194,"HUBBARD-HALL INC","563 S LEONARD ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.530697,-73.043412,"NO",4246,"Chemical Wholesalers",NA,NA,NA,NA,NA,NA,424690,0,NA,0,0,0,1308206375080,"TETRACHLOROETHYLENE","000127184",34157,"YES","TRI","NO",0,"YES","R","Pounds",2,38,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,40,0,NA,1.43,"HUBBARD-HALL INC","055310759",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40
"693",693,0,693,2008,"06110BBTTBRAILR",110000581629,"ABBOTT BALL CO INC","19 RAILROAD PL","WEST HARTFORD","HARTFORD","CT",6110,NA,NA,41.72892,-72.72635,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332991,0,NA,0,0,0,1308207037480,"COPPER","007440508",150086,"NO","TRI","YES",1,"NO","R","Pounds",0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,2.43,23.22,0,23.22,0,0,0,0,0,0,0,0,0,0,13103,0,0,0,0,0,0,13126.22,0,0,0,0,2385,2385,0,0,0,0,0,0,0,0,0,0,13128.65,0,0,2.43,13103,23.22,0,0,0,2385,0,0,15513.65,0,NA,4.8,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13128.65
"694",694,0,694,2008,"06029SYNMR5NUTM",110039496355,"SYN-MAR PRODUCTS INC","5 NUTMEG DR","ELLINGTON","TOLLAND","CT",6029,NA,NA,41.87242,-72.48716,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325991,0,NA,0,0,0,1308207020100,"STYRENE","000100425",19414,"YES","TRI","NO",0,"YES","R","Pounds",0,1888,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,1888,0,0,0,0,0,0,0,0,1888,0,NA,0.89,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1888
"695",695,1,695,2008,"06708HBBRD563SL",110000317194,"HUBBARD-HALL INC","563 S LEONARD ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.530697,-73.043412,"NO",4246,"Chemical Wholesalers",NA,NA,NA,NA,NA,NA,424690,0,NA,0,0,0,1308206375090,"TRICHLOROETHYLENE","000079016",7526,"YES","TRI","NO",0,"YES","R","Pounds",18,344,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,362,0,0,0,0,0,0,0,0,362,0,NA,1.16,"HUBBARD-HALL INC","055310759",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,362
"696",696,0,696,2008,"06470TLCNC9BUTO",110008053710,"TILCON CONNECTICUT INC","9 BUTTON SHOP RD","NEWTOWN","FAIRFIELD","CT",6470,NA,NA,41.369451,-73.269062,"NO",324,"Petroleum",NA,NA,NA,NA,NA,NA,324121,0,NA,0,0,0,1308206431060,"POLYCYCLIC AROMATIC COMPOUNDS","N590",649749,"YES","PBT","NO",0,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"OLDCASTLE INC","023665045",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"697",697,1,697,2008,"06708HBBRD563SL",110000317194,"HUBBARD-HALL INC","563 S LEONARD ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.530697,-73.043412,"NO",4246,"Chemical Wholesalers",NA,NA,NA,NA,NA,NA,424690,0,NA,0,0,0,1308206375090,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","R","Pounds",3,57,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0,0,0,0,60,0,NA,1.09,"HUBBARD-HALL INC","055310759",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60
"698",698,0,698,2008,"06074KFBRC1440J",110001148482,"REDLAND BRICK INC- KF PLANT","1440 JOHN FITCH BLVD","SOUTH WINDSOR","HARTFORD","CT",6074,NA,NA,41.842692,-72.599488,"NO",327,"Nonmetallic Mineral Product",NA,NA,NA,NA,NA,NA,327121,0,NA,0,0,0,1308206236540,"BARIUM COMPOUNDS","N040",649426,"NO","TRI","NO",3,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"THE BELDEN BRICK CO","004468690",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"699",699,1,699,2008,"06725FBRCT172EA",110000317318,"PARK ADVANCED COMPOSITE MATERIALS INC.","172 E AURORA ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.57321,-73.05767,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336413,0,NA,0,0,0,1308206374930,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","R","Pounds",18.7,217,0,0,0,0,0,0,0,0,0,0,0,0,235.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,6151,6504,0,0,0,0,0,0,0,235.7,0,0,235.7,0,0,7198,6504,0,0,4790,0,18727.7,0,NA,1.1,"PARK ELECTROCHEMICAL CORP","044476224",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,235.7
"700",700,1,700,2008,"06770LCTRC18RAD",110031001243,"ELECTRIC CABLE COMPOUNDS INC","108 RADO DR","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.5174,-73.02178,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325212,0,NA,0,0,0,1308206695720,"LEAD COMPOUNDS","N420",650002,"YES","PBT","YES",1,"NO","R","Pounds",29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,10,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,29,814,843,0,0,0,0,0,0,1686,0,NA,0.94,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,843
"701",701,0,701,2008,"06801KNTHL119WO",110000317577,"SANDVIK WIRE AND HEATING TECHNOLOGIES","119 WOOSTER ST.","BETHEL","FAIRFIELD","CT",68010281,NA,NA,41.38353,-73.41987,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331222,331221,331421,0,0,0,1308206928930,"CHROMIUM","007440473",150060,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44428,0,0,0,44428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44428,0,0,44428,0,NA,1.3,"SANDVIK INC",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"702",702,1,702,2008,"06708LLGHN271RA",110016680607,"ATI FLAT ROLLED PRODUCTS HOLDINGS LLC","271 RAILROAD HILL ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.53745,-73.03909,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331221,0,NA,0,0,0,1308206832930,"NICKEL COMPOUNDS","N495",650036,"YES","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,230,0,0,0,0,0,0,230,0,NA,1.1,"ALLEGHENY TECHNOLOGIES INC","949262737",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,230
"703",703,1,703,2008,"06708HBBRD563SL",110000317194,"HUBBARD-HALL INC","563 S LEONARD ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.530697,-73.043412,"NO",4246,"Chemical Wholesalers",NA,NA,NA,NA,NA,NA,424690,0,NA,0,0,0,1308206375040,"DICHLOROMETHANE","000075092",5306,"YES","TRI","NO",0,"YES","R","Pounds",86,1635,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,1721,0,0,0,0,0,0,0,0,1721,0,NA,1.64,"HUBBARD-HALL INC","055310759",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1721
"704",704,0,704,2008,"06074KFBRC1440J",110001148482,"REDLAND BRICK INC- KF PLANT","1440 JOHN FITCH BLVD","SOUTH WINDSOR","HARTFORD","CT",6074,NA,NA,41.842692,-72.599488,"NO",327,"Nonmetallic Mineral Product",NA,NA,NA,NA,NA,NA,327121,0,NA,0,0,0,1308206236540,"HYDROGEN FLUORIDE","007664393",152371,"YES","TRI","NO",0,"NO","R","Pounds",0,512,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,512,0,0,0,0,0,0,10232,0,10744,0,NA,0.55,"THE BELDEN BRICK CO","004468690",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,512
"705",705,0,705,2008,"0633WMRCSS1761R",110067042177,"AMERICAS STYRENICS ALLYNS POINT PLANT","1761 RT 12","GALES FERRY","NEW LONDON","CT",6335,NA,NA,41.441954,-72.078853,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,0,NA,0,0,0,1308206455150,"STYRENE","000100425",19414,"YES","TRI","NO",0,"YES","R","Pounds",1038,2372,0,0,0,0,0,0,0,0,0,0,0,0,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117352,0,28650,0,0,146002,3410,0,0,3410,0,0,397617,0,0,0,0,146002,547029,0,NA,0,"AMERICAS STYRENICS LLC","825292100",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3410
"706",706,1,706,2008,"06770LCTRC18RAD",110031001243,"ELECTRIC CABLE COMPOUNDS INC","108 RADO DR","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.5174,-73.02178,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325212,0,NA,0,0,0,1308206695710,"ANTIMONY COMPOUNDS","N010",649921,"YES","TRI","YES",1,"NO","R","Pounds",47,24,0,0,0,0,0,0,0,0,0,0,0,0,71,21,0,21,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,0,71,1390,0,0,0,0,0,0,0,1461,0,NA,1.12,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1461
"707",707,0,707,2008,"06095CTLRH625DA",110039214677,"EATON CORPORATION","40A INTERNATIONAL DR.","WINDSOR","HARTFORD","CT",6095,NA,NA,41.874722,-72.691667,"NO",335,"Electrical Equipment",NA,NA,NA,NA,NA,NA,335313,335314,NA,0,0,0,1308206714800,"COPPER","007440508",150086,"NO","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,10267,10267,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,10267,0,0,10284,0,NA,1.25,"EATON CORP","004155818",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17
"708",708,1,708,2008,"06725FBRCT172EA",110000317318,"PARK ADVANCED COMPOSITE MATERIALS INC.","172 E AURORA ST","WATERBURY","NEW HAVEN","CT",6708,NA,NA,41.57321,-73.05767,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336413,0,NA,0,0,0,1308206374910,"N,N-DIMETHYLFORMAMIDE","000068122",4416,"YES","TRI","NO",0,"YES","R","Pounds",8,281,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,30756,31579,0,0,0,0,0,0,0,289,0,0,289,0,0,28972,31579,0,0,19314,0,80154,0,NA,1.1,"PARK ELECTROCHEMICAL CORP","044476224",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,289
"709",709,0,709,2008,"06810SLDRCOLDSH",110000317666,"SEALED AIR","10 OLD SHERMAN TURNPIKE","DANBURY","FAIRFIELD","CT",6810,NA,NA,41.411079,-73.407867,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325991,333993,NA,0,0,0,1308206402700,"DIISOCYANATES","N120",649715,"YES","TRI","NO",0,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,35,35,0,NA,0.92,"SEALED AIR CORP","082663956",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"710",710,0,710,2008,"06801KNTHL119WO",110000317577,"SANDVIK WIRE AND HEATING TECHNOLOGIES","119 WOOSTER ST.","BETHEL","FAIRFIELD","CT",68010281,NA,NA,41.38353,-73.41987,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331222,331221,331421,0,0,0,1308206928930,"COPPER","007440508",150086,"NO","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14752,0,0,0,14752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14752,0,0,14752,0,NA,1.4,"SANDVIK INC",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"711",711,0,711,2008,"06801KNTHL119WO",110000317577,"SANDVIK WIRE AND HEATING TECHNOLOGIES","119 WOOSTER ST.","BETHEL","FAIRFIELD","CT",68010281,NA,NA,41.38353,-73.41987,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331222,331221,331421,0,0,0,1308206928940,"NICKEL","007440020",149674,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133072,0,0,0,133072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133072,0,0,133072,0,NA,1.23,"SANDVIK INC",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
